x y l s
290000.00 490000.00  0  0
290200.00 490000.00  0  1
290400.00 490000.00  0  2
290600.00 490000.00  0  3
290800.00 490000.00  0  4
291000.00 490000.00  0  5
291200.00 490000.00  0  6
291400.00 490000.00  0  7
291600.00 490000.00  0  8
291800.00 490000.00  0  9
292000.00 490000.00  0 10
292200.00 490000.00  0 11
292400.00 490000.00  0 12
292600.00 490000.00  0 13
292800.00 490000.00  0 14
293000.00 490000.00  0 15
293200.00 490000.00  0 16
293400.00 490000.00  0 17
293600.00 490000.00  0 18
293800.00 490000.00  0 19
294000.00 490000.00  0 20
294200.00 490000.00  0 21
294400.00 490000.00  0 22
294600.00 490000.00  0 23
294800.00 490000.00  0 24
295000.00 490000.00  0 25
295200.00 490000.00  0 26
295400.00 490000.00  0 27
295600.00 490000.00  0 28
295800.00 490000.00  0 29
296000.00 490000.00  0 30
296200.00 490000.00  0 31
296400.00 490000.00  0 32
296600.00 490000.00  0 33
296800.00 490000.00  0 34
297000.00 490000.00  0 35
297200.00 490000.00  0 36
297400.00 490000.00  0 37
297600.00 490000.00  0 38
297800.00 490000.00  0 39
298000.00 490000.00  0 40
298200.00 490000.00  0 41
298400.00 490000.00  0 42
298600.00 490000.00  0 43
298800.00 490000.00  0 44
299000.00 490000.00  0 45
299200.00 490000.00  0 46
299400.00 490000.00  0 47
299600.00 490000.00  0 48
299800.00 490000.00  0 49
300000.00 490000.00  0 50
300200.00 490000.00  0 51
300400.00 490000.00  0 52
300600.00 490000.00  0 53
300800.00 490000.00  0 54
301000.00 490000.00  0 55
301200.00 490000.00  0 56
301400.00 490000.00  0 57
301600.00 490000.00  0 58
301800.00 490000.00  0 59
302000.00 490000.00  0 60
302200.00 490000.00  0 61
302400.00 490000.00  0 62
302600.00 490000.00  0 63
302800.00 490000.00  0 64
303000.00 490000.00  0 65
303200.00 490000.00  0 66
303400.00 490000.00  0 67
303600.00 490000.00  0 68
303800.00 490000.00  0 69
304000.00 490000.00  0 70
304200.00 490000.00  0 71
304400.00 490000.00  0 72
304600.00 490000.00  0 73
304800.00 490000.00  0 74
305000.00 490000.00  0 75
305200.00 490000.00  0 76
305400.00 490000.00  0 77
305600.00 490000.00  0 78
305800.00 490000.00  0 79
306000.00 490000.00  0 80
306200.00 490000.00  0 81
306400.00 490000.00  0 82
306600.00 490000.00  0 83
306800.00 490000.00  0 84
307000.00 490000.00  0 85
307200.00 490000.00  0 86
307400.00 490000.00  0 87
307600.00 490000.00  0 88
307800.00 490000.00  0 89
308000.00 490000.00  0 90
308200.00 490000.00  0 91
308400.00 490000.00  0 92
308600.00 490000.00  0 93
308800.00 490000.00  0 94
309000.00 490000.00  0 95
309200.00 490000.00  0 96
309400.00 490000.00  0 97
309600.00 490000.00  0 98
309800.00 490000.00  0 99
310000.00 490000.00  0 100
310200.00 490000.00  0 101
310400.00 490000.00  0 102
310600.00 490000.00  0 103
310800.00 490000.00  0 104
311000.00 490000.00  0 105
311200.00 490000.00  0 106
311400.00 490000.00  0 107
311600.00 490000.00  0 108
311800.00 490000.00  0 109
312000.00 490000.00  0 110
312200.00 490000.00  0 111
312400.00 490000.00  0 112
312600.00 490000.00  0 113
312800.00 490000.00  0 114
313000.00 490000.00  0 115
313200.00 490000.00  0 116
313400.00 490000.00  0 117
313600.00 490000.00  0 118
313800.00 490000.00  0 119
314000.00 490000.00  0 120
314200.00 490000.00  0 121
314400.00 490000.00  0 122
314600.00 490000.00  0 123
314800.00 490000.00  0 124
315000.00 490000.00  0 125
315200.00 490000.00  0 126
315400.00 490000.00  0 127
315600.00 490000.00  0 128
315800.00 490000.00  0 129
316000.00 490000.00  0 130
316200.00 490000.00  0 131
316400.00 490000.00  0 132
316600.00 490000.00  0 133
316800.00 490000.00  0 134
317000.00 490000.00  0 135
317200.00 490000.00  0 136
317400.00 490000.00  0 137
317600.00 490000.00  0 138
317800.00 490000.00  0 139
318000.00 490000.00  0 140
318200.00 490000.00  0 141
318400.00 490000.00  0 142
318600.00 490000.00  0 143
318800.00 490000.00  0 144
319000.00 490000.00  0 145
319200.00 490000.00  0 146
319400.00 490000.00  0 147
319600.00 490000.00  0 148
319800.00 490000.00  0 149
290000.00 490200.00  1  0
290200.00 490200.00  1  1
290400.00 490200.00  1  2
290600.00 490200.00  1  3
290800.00 490200.00  1  4
291000.00 490200.00  1  5
291200.00 490200.00  1  6
291400.00 490200.00  1  7
291600.00 490200.00  1  8
291800.00 490200.00  1  9
292000.00 490200.00  1 10
292200.00 490200.00  1 11
292400.00 490200.00  1 12
292600.00 490200.00  1 13
292800.00 490200.00  1 14
293000.00 490200.00  1 15
293200.00 490200.00  1 16
293400.00 490200.00  1 17
293600.00 490200.00  1 18
293800.00 490200.00  1 19
294000.00 490200.00  1 20
294200.00 490200.00  1 21
294400.00 490200.00  1 22
294600.00 490200.00  1 23
294800.00 490200.00  1 24
295000.00 490200.00  1 25
295200.00 490200.00  1 26
295400.00 490200.00  1 27
295600.00 490200.00  1 28
295800.00 490200.00  1 29
296000.00 490200.00  1 30
296200.00 490200.00  1 31
296400.00 490200.00  1 32
296600.00 490200.00  1 33
296800.00 490200.00  1 34
297000.00 490200.00  1 35
297200.00 490200.00  1 36
297400.00 490200.00  1 37
297600.00 490200.00  1 38
297800.00 490200.00  1 39
298000.00 490200.00  1 40
298200.00 490200.00  1 41
298400.00 490200.00  1 42
298600.00 490200.00  1 43
298800.00 490200.00  1 44
299000.00 490200.00  1 45
299200.00 490200.00  1 46
299400.00 490200.00  1 47
299600.00 490200.00  1 48
299800.00 490200.00  1 49
300000.00 490200.00  1 50
300200.00 490200.00  1 51
300400.00 490200.00  1 52
300600.00 490200.00  1 53
300800.00 490200.00  1 54
301000.00 490200.00  1 55
301200.00 490200.00  1 56
301400.00 490200.00  1 57
301600.00 490200.00  1 58
301800.00 490200.00  1 59
302000.00 490200.00  1 60
302200.00 490200.00  1 61
302400.00 490200.00  1 62
302600.00 490200.00  1 63
302800.00 490200.00  1 64
303000.00 490200.00  1 65
303200.00 490200.00  1 66
303400.00 490200.00  1 67
303600.00 490200.00  1 68
303800.00 490200.00  1 69
304000.00 490200.00  1 70
304200.00 490200.00  1 71
304400.00 490200.00  1 72
304600.00 490200.00  1 73
304800.00 490200.00  1 74
305000.00 490200.00  1 75
305200.00 490200.00  1 76
305400.00 490200.00  1 77
305600.00 490200.00  1 78
305800.00 490200.00  1 79
306000.00 490200.00  1 80
306200.00 490200.00  1 81
306400.00 490200.00  1 82
306600.00 490200.00  1 83
306800.00 490200.00  1 84
307000.00 490200.00  1 85
307200.00 490200.00  1 86
307400.00 490200.00  1 87
307600.00 490200.00  1 88
307800.00 490200.00  1 89
308000.00 490200.00  1 90
308200.00 490200.00  1 91
308400.00 490200.00  1 92
308600.00 490200.00  1 93
308800.00 490200.00  1 94
309000.00 490200.00  1 95
309200.00 490200.00  1 96
309400.00 490200.00  1 97
309600.00 490200.00  1 98
309800.00 490200.00  1 99
310000.00 490200.00  1 100
310200.00 490200.00  1 101
310400.00 490200.00  1 102
310600.00 490200.00  1 103
310800.00 490200.00  1 104
311000.00 490200.00  1 105
311200.00 490200.00  1 106
311400.00 490200.00  1 107
311600.00 490200.00  1 108
311800.00 490200.00  1 109
312000.00 490200.00  1 110
312200.00 490200.00  1 111
312400.00 490200.00  1 112
312600.00 490200.00  1 113
312800.00 490200.00  1 114
313000.00 490200.00  1 115
313200.00 490200.00  1 116
313400.00 490200.00  1 117
313600.00 490200.00  1 118
313800.00 490200.00  1 119
314000.00 490200.00  1 120
314200.00 490200.00  1 121
314400.00 490200.00  1 122
314600.00 490200.00  1 123
314800.00 490200.00  1 124
315000.00 490200.00  1 125
315200.00 490200.00  1 126
315400.00 490200.00  1 127
315600.00 490200.00  1 128
315800.00 490200.00  1 129
316000.00 490200.00  1 130
316200.00 490200.00  1 131
316400.00 490200.00  1 132
316600.00 490200.00  1 133
316800.00 490200.00  1 134
317000.00 490200.00  1 135
317200.00 490200.00  1 136
317400.00 490200.00  1 137
317600.00 490200.00  1 138
317800.00 490200.00  1 139
318000.00 490200.00  1 140
318200.00 490200.00  1 141
318400.00 490200.00  1 142
318600.00 490200.00  1 143
318800.00 490200.00  1 144
319000.00 490200.00  1 145
319200.00 490200.00  1 146
319400.00 490200.00  1 147
319600.00 490200.00  1 148
319800.00 490200.00  1 149
290000.00 490400.00  2  0
290200.00 490400.00  2  1
290400.00 490400.00  2  2
290600.00 490400.00  2  3
290800.00 490400.00  2  4
291000.00 490400.00  2  5
291200.00 490400.00  2  6
291400.00 490400.00  2  7
291600.00 490400.00  2  8
291800.00 490400.00  2  9
292000.00 490400.00  2 10
292200.00 490400.00  2 11
292400.00 490400.00  2 12
292600.00 490400.00  2 13
292800.00 490400.00  2 14
293000.00 490400.00  2 15
293200.00 490400.00  2 16
293400.00 490400.00  2 17
293600.00 490400.00  2 18
293800.00 490400.00  2 19
294000.00 490400.00  2 20
294200.00 490400.00  2 21
294400.00 490400.00  2 22
294600.00 490400.00  2 23
294800.00 490400.00  2 24
295000.00 490400.00  2 25
295200.00 490400.00  2 26
295400.00 490400.00  2 27
295600.00 490400.00  2 28
295800.00 490400.00  2 29
296000.00 490400.00  2 30
296200.00 490400.00  2 31
296400.00 490400.00  2 32
296600.00 490400.00  2 33
296800.00 490400.00  2 34
297000.00 490400.00  2 35
297200.00 490400.00  2 36
297400.00 490400.00  2 37
297600.00 490400.00  2 38
297800.00 490400.00  2 39
298000.00 490400.00  2 40
298200.00 490400.00  2 41
298400.00 490400.00  2 42
298600.00 490400.00  2 43
298800.00 490400.00  2 44
299000.00 490400.00  2 45
299200.00 490400.00  2 46
299400.00 490400.00  2 47
299600.00 490400.00  2 48
299800.00 490400.00  2 49
300000.00 490400.00  2 50
300200.00 490400.00  2 51
300400.00 490400.00  2 52
300600.00 490400.00  2 53
300800.00 490400.00  2 54
301000.00 490400.00  2 55
301200.00 490400.00  2 56
301400.00 490400.00  2 57
301600.00 490400.00  2 58
301800.00 490400.00  2 59
302000.00 490400.00  2 60
302200.00 490400.00  2 61
302400.00 490400.00  2 62
302600.00 490400.00  2 63
302800.00 490400.00  2 64
303000.00 490400.00  2 65
303200.00 490400.00  2 66
303400.00 490400.00  2 67
303600.00 490400.00  2 68
