x y l s
292200.00 492200.00 11 11
292400.00 492200.00 11 12
292600.00 492200.00 11 13
292800.00 492200.00 11 14
293000.00 492200.00 11 15
293200.00 492200.00 11 16
293400.00 492200.00 11 17
293600.00 492200.00 11 18
293800.00 492200.00 11 19
294000.00 492200.00 11 20
294200.00 492200.00 11 21
294400.00 492200.00 11 22
294600.00 492200.00 11 23
294800.00 492200.00 11 24
295000.00 492200.00 11 25
295200.00 492200.00 11 26
295400.00 492200.00 11 27
295600.00 492200.00 11 28
295800.00 492200.00 11 29
296000.00 492200.00 11 30
296200.00 492200.00 11 31
296400.00 492200.00 11 32
296600.00 492200.00 11 33
296800.00 492200.00 11 34
297000.00 492200.00 11 35
297200.00 492200.00 11 36
297400.00 492200.00 11 37
297600.00 492200.00 11 38
297800.00 492200.00 11 39
298000.00 492200.00 11 40
298200.00 492200.00 11 41
298400.00 492200.00 11 42
298600.00 492200.00 11 43
298800.00 492200.00 11 44
299000.00 492200.00 11 45
299200.00 492200.00 11 46
299400.00 492200.00 11 47
299600.00 492200.00 11 48
299800.00 492200.00 11 49
300000.00 492200.00 11 50
300200.00 492200.00 11 51
300400.00 492200.00 11 52
300600.00 492200.00 11 53
300800.00 492200.00 11 54
301000.00 492200.00 11 55
301200.00 492200.00 11 56
301400.00 492200.00 11 57
301600.00 492200.00 11 58
301800.00 492200.00 11 59
302000.00 492200.00 11 60
302200.00 492200.00 11 61
302400.00 492200.00 11 62
302600.00 492200.00 11 63
302800.00 492200.00 11 64
303000.00 492200.00 11 65
303200.00 492200.00 11 66
303400.00 492200.00 11 67
303600.00 492200.00 11 68
303800.00 492200.00 11 69
304000.00 492200.00 11 70
304200.00 492200.00 11 71
304400.00 492200.00 11 72
304600.00 492200.00 11 73
304800.00 492200.00 11 74
305000.00 492200.00 11 75
305200.00 492200.00 11 76
305400.00 492200.00 11 77
305600.00 492200.00 11 78
305800.00 492200.00 11 79
306000.00 492200.00 11 80
306200.00 492200.00 11 81
306400.00 492200.00 11 82
306600.00 492200.00 11 83
306800.00 492200.00 11 84
307000.00 492200.00 11 85
307200.00 492200.00 11 86
307400.00 492200.00 11 87
307600.00 492200.00 11 88
307800.00 492200.00 11 89
308000.00 492200.00 11 90
308200.00 492200.00 11 91
308400.00 492200.00 11 92
308600.00 492200.00 11 93
308800.00 492200.00 11 94
309000.00 492200.00 11 95
309200.00 492200.00 11 96
309400.00 492200.00 11 97
309600.00 492200.00 11 98
309800.00 492200.00 11 99
310000.00 492200.00 11 100
310200.00 492200.00 11 101
310400.00 492200.00 11 102
310600.00 492200.00 11 103
310800.00 492200.00 11 104
311000.00 492200.00 11 105
311200.00 492200.00 11 106
311400.00 492200.00 11 107
311600.00 492200.00 11 108
311800.00 492200.00 11 109
312000.00 492200.00 11 110
312200.00 492200.00 11 111
312400.00 492200.00 11 112
312600.00 492200.00 11 113
312800.00 492200.00 11 114
313000.00 492200.00 11 115
313200.00 492200.00 11 116
313400.00 492200.00 11 117
313600.00 492200.00 11 118
313800.00 492200.00 11 119
314000.00 492200.00 11 120
314200.00 492200.00 11 121
314400.00 492200.00 11 122
314600.00 492200.00 11 123
314800.00 492200.00 11 124
315000.00 492200.00 11 125
315200.00 492200.00 11 126
315400.00 492200.00 11 127
315600.00 492200.00 11 128
315800.00 492200.00 11 129
292200.00 492400.00 12 11
292400.00 492400.00 12 12
292600.00 492400.00 12 13
292800.00 492400.00 12 14
293000.00 492400.00 12 15
293200.00 492400.00 12 16
293400.00 492400.00 12 17
293600.00 492400.00 12 18
293800.00 492400.00 12 19
294000.00 492400.00 12 20
294200.00 492400.00 12 21
294400.00 492400.00 12 22
294600.00 492400.00 12 23
294800.00 492400.00 12 24
295000.00 492400.00 12 25
295200.00 492400.00 12 26
295400.00 492400.00 12 27
295600.00 492400.00 12 28
295800.00 492400.00 12 29
296000.00 492400.00 12 30
296200.00 492400.00 12 31
296400.00 492400.00 12 32
296600.00 492400.00 12 33
296800.00 492400.00 12 34
297000.00 492400.00 12 35
297200.00 492400.00 12 36
297400.00 492400.00 12 37
297600.00 492400.00 12 38
297800.00 492400.00 12 39
298000.00 492400.00 12 40
298200.00 492400.00 12 41
298400.00 492400.00 12 42
298600.00 492400.00 12 43
298800.00 492400.00 12 44
299000.00 492400.00 12 45
299200.00 492400.00 12 46
299400.00 492400.00 12 47
299600.00 492400.00 12 48
299800.00 492400.00 12 49
300000.00 492400.00 12 50
300200.00 492400.00 12 51
300400.00 492400.00 12 52
300600.00 492400.00 12 53
300800.00 492400.00 12 54
301000.00 492400.00 12 55
301200.00 492400.00 12 56
301400.00 492400.00 12 57
301600.00 492400.00 12 58
301800.00 492400.00 12 59
302000.00 492400.00 12 60
302200.00 492400.00 12 61
302400.00 492400.00 12 62
302600.00 492400.00 12 63
302800.00 492400.00 12 64
303000.00 492400.00 12 65
303200.00 492400.00 12 66
303400.00 492400.00 12 67
303600.00 492400.00 12 68
303800.00 492400.00 12 69
304000.00 492400.00 12 70
304200.00 492400.00 12 71
304400.00 492400.00 12 72
304600.00 492400.00 12 73
304800.00 492400.00 12 74
305000.00 492400.00 12 75
305200.00 492400.00 12 76
305400.00 492400.00 12 77
305600.00 492400.00 12 78
305800.00 492400.00 12 79
306000.00 492400.00 12 80
306200.00 492400.00 12 81
306400.00 492400.00 12 82
306600.00 492400.00 12 83
306800.00 492400.00 12 84
307000.00 492400.00 12 85
307200.00 492400.00 12 86
307400.00 492400.00 12 87
307600.00 492400.00 12 88
307800.00 492400.00 12 89
308000.00 492400.00 12 90
308200.00 492400.00 12 91
308400.00 492400.00 12 92
308600.00 492400.00 12 93
308800.00 492400.00 12 94
309000.00 492400.00 12 95
309200.00 492400.00 12 96
309400.00 492400.00 12 97
309600.00 492400.00 12 98
309800.00 492400.00 12 99
310000.00 492400.00 12 100
310200.00 492400.00 12 101
310400.00 492400.00 12 102
310600.00 492400.00 12 103
310800.00 492400.00 12 104
311000.00 492400.00 12 105
311200.00 492400.00 12 106
311400.00 492400.00 12 107
311600.00 492400.00 12 108
311800.00 492400.00 12 109
312000.00 492400.00 12 110
312200.00 492400.00 12 111
312400.00 492400.00 12 112
312600.00 492400.00 12 113
312800.00 492400.00 12 114
313000.00 492400.00 12 115
313200.00 492400.00 12 116
313400.00 492400.00 12 117
313600.00 492400.00 12 118
313800.00 492400.00 12 119
314000.00 492400.00 12 120
314200.00 492400.00 12 121
314400.00 492400.00 12 122
314600.00 492400.00 12 123
314800.00 492400.00 12 124
315000.00 492400.00 12 125
315200.00 492400.00 12 126
315400.00 492400.00 12 127
315600.00 492400.00 12 128
315800.00 492400.00 12 129
292200.00 492600.00 13 11
292400.00 492600.00 13 12
292600.00 492600.00 13 13
292800.00 492600.00 13 14
293000.00 492600.00 13 15
293200.00 492600.00 13 16
293400.00 492600.00 13 17
293600.00 492600.00 13 18
293800.00 492600.00 13 19
294000.00 492600.00 13 20
294200.00 492600.00 13 21
294400.00 492600.00 13 22
294600.00 492600.00 13 23
294800.00 492600.00 13 24
295000.00 492600.00 13 25
295200.00 492600.00 13 26
295400.00 492600.00 13 27
295600.00 492600.00 13 28
295800.00 492600.00 13 29
296000.00 492600.00 13 30
296200.00 492600.00 13 31
296400.00 492600.00 13 32
296600.00 492600.00 13 33
296800.00 492600.00 13 34
297000.00 492600.00 13 35
297200.00 492600.00 13 36
297400.00 492600.00 13 37
297600.00 492600.00 13 38
297800.00 492600.00 13 39
298000.00 492600.00 13 40
298200.00 492600.00 13 41
298400.00 492600.00 13 42
298600.00 492600.00 13 43
298800.00 492600.00 13 44
299000.00 492600.00 13 45
299200.00 492600.00 13 46
299400.00 492600.00 13 47
299600.00 492600.00 13 48
299800.00 492600.00 13 49
300000.00 492600.00 13 50
300200.00 492600.00 13 51
300400.00 492600.00 13 52
300600.00 492600.00 13 53
300800.00 492600.00 13 54
301000.00 492600.00 13 55
301200.00 492600.00 13 56
301400.00 492600.00 13 57
301600.00 492600.00 13 58
301800.00 492600.00 13 59
302000.00 492600.00 13 60
302200.00 492600.00 13 61
302400.00 492600.00 13 62
302600.00 492600.00 13 63
302800.00 492600.00 13 64
303000.00 492600.00 13 65
303200.00 492600.00 13 66
303400.00 492600.00 13 67
303600.00 492600.00 13 68
303800.00 492600.00 13 69
304000.00 492600.00 13 70
304200.00 492600.00 13 71
304400.00 492600.00 13 72
304600.00 492600.00 13 73
304800.00 492600.00 13 74
305000.00 492600.00 13 75
305200.00 492600.00 13 76
305400.00 492600.00 13 77
305600.00 492600.00 13 78
305800.00 492600.00 13 79
306000.00 492600.00 13 80
306200.00 492600.00 13 81
306400.00 492600.00 13 82
306600.00 492600.00 13 83
306800.00 492600.00 13 84
307000.00 492600.00 13 85
307200.00 492600.00 13 86
307400.00 492600.00 13 87
307600.00 492600.00 13 88
307800.00 492600.00 13 89
308000.00 492600.00 13 90
308200.00 492600.00 13 91
308400.00 492600.00 13 92
308600.00 492600.00 13 93
308800.00 492600.00 13 94
309000.00 492600.00 13 95
309200.00 492600.00 13 96
309400.00 492600.00 13 97
309600.00 492600.00 13 98
309800.00 492600.00 13 99
310000.00 492600.00 13 100
310200.00 492600.00 13 101
310400.00 492600.00 13 102
310600.00 492600.00 13 103
310800.00 492600.00 13 104
311000.00 492600.00 13 105
311200.00 492600.00 13 106
311400.00 492600.00 13 107
311600.00 492600.00 13 108
311800.00 492600.00 13 109
312000.00 492600.00 13 110
312200.00 492600.00 13 111
312400.00 492600.00 13 112
312600.00 492600.00 13 113
312800.00 492600.00 13 114
313000.00 492600.00 13 115
313200.00 492600.00 13 116
313400.00 492600.00 13 117
313600.00 492600.00 13 118
313800.00 492600.00 13 119
314000.00 492600.00 13 120
314200.00 492600.00 13 121
314400.00 492600.00 13 122
314600.00 492600.00 13 123
314800.00 492600.00 13 124
315000.00 492600.00 13 125
315200.00 492600.00 13 126
315400.00 492600.00 13 127
315600.00 492600.00 13 128
315800.00 492600.00 13 129
292200.00 492800.00 14 11
292400.00 492800.00 14 12
292600.00 492800.00 14 13
292800.00 492800.00 14 14
293000.00 492800.00 14 15
293200.00 492800.00 14 16
293400.00 492800.00 14 17
293600.00 492800.00 14 18
293800.00 492800.00 14 19
294000.00 492800.00 14 20
294200.00 492800.00 14 21
294400.00 492800.00 14 22
294600.00 492800.00 14 23
294800.00 492800.00 14 24
295000.00 492800.00 14 25
295200.00 492800.00 14 26
295400.00 492800.00 14 27
295600.00 492800.00 14 28
295800.00 492800.00 14 29
296000.00 492800.00 14 30
296200.00 492800.00 14 31
296400.00 492800.00 14 32
296600.00 492800.00 14 33
296800.00 492800.00 14 34
297000.00 492800.00 14 35
297200.00 492800.00 14 36
297400.00 492800.00 14 37
297600.00 492800.00 14 38
297800.00 492800.00 14 39
298000.00 492800.00 14 40
298200.00 492800.00 14 41
298400.00 492800.00 14 42
298600.00 492800.00 14 43
298800.00 492800.00 14 44
299000.00 492800.00 14 45
299200.00 492800.00 14 46
299400.00 492800.00 14 47
299600.00 492800.00 14 48
299800.00 492800.00 14 49
300000.00 492800.00 14 50
300200.00 492800.00 14 51
300400.00 492800.00 14 52
300600.00 492800.00 14 53
300800.00 492800.00 14 54
301000.00 492800.00 14 55
301200.00 492800.00 14 56
301400.00 492800.00 14 57
301600.00 492800.00 14 58
301800.00 492800.00 14 59
302000.00 492800.00 14 60
302200.00 492800.00 14 61
302400.00 492800.00 14 62
302600.00 492800.00 14 63
302800.00 492800.00 14 64
303000.00 492800.00 14 65
303200.00 492800.00 14 66
303400.00 492800.00 14 67
303600.00 492800.00 14 68
303800.00 492800.00 14 69
304000.00 492800.00 14 70
304200.00 492800.00 14 71
304400.00 492800.00 14 72
304600.00 492800.00 14 73
304800.00 492800.00 14 74
305000.00 492800.00 14 75
305200.00 492800.00 14 76
305400.00 492800.00 14 77
305600.00 492800.00 14 78
